GPS Date & Time, # of Sats, HDOP, Latitude, Longitude, Altitude(m), Speed(m/s), Heading(Deg), Marker, Value
2020/10/05-16:11:15:00,0,3.9,40.0610737,-105.2111562,1569.099976,8.375861,280.9486,Data Log,True
2020/10/05-16:11:16:00,0,3.9,40.061079,-105.2112543,1569.099976,8.029611,285.862,,
2020/10/05-16:11:17:00,0,3.763,40.0610844,-105.2113467,1569.099976,7.909273,290.84595,,
2020/10/05-16:11:18:00,0,3.763,40.061092,-105.2114324,1569.099976,6.9967804,293.8149,,
2020/10/05-16:11:19:00,0,3.763,40.0610959,-105.2115081,1569.099976,5.9305453,289.99252,,
2020/10/05-16:11:20:00,0,3.763,40.0610934,-105.2115645,1569.099976,4.0363994,293.76782,,
2020/10/05-16:11:21:00,0,3.763,40.0610888,-105.2115929,1569.099976,1.6694354,292.47568,,
2020/10/05-16:11:22:00,0,3.786,40.0610812,-105.2115949,1569.099976,1.6284745,292.69116,,
2020/10/05-16:11:23:00,0,3.9,40.0610749,-105.2116004,1569.099976,1.3835399,293.97177,,
2020/10/05-16:11:24:00,0,3.9,40.0610711,-105.2116202,1569.099976,3.2143185,254.02263,,
2020/10/05-16:11:25:00,0,3.9,40.0610541,-105.2116482,1569.099976,3.7515082,235.68526,,
2020/10/05-16:11:26:00,0,3.9,40.0610221,-105.2116918,1569.099976,5.4940767,207.10373,,
2020/10/05-16:11:27:00,0,3.9,40.0609661,-105.2117164,1569.099976,6.382113,184.09589,,
2020/10/05-16:11:27:00,0,3.9,40.0609661,-105.2117164,1569.099976,6.382113,184.09589,RP,
2020/10/05-16:11:28:00,0,3.9,40.060902,-105.2117208,1569.099976,6.512071,184.93796,,
2020/10/05-16:11:29:00,0,3.9,40.0608317,-105.2117253,1569.099976,7.9240785,184.01712,,
2020/10/05-16:11:30:00,0,3.9,40.060754,-105.2117302,1569.099976,8.303389,185.98871,,
2020/10/05-16:11:31:00,0,3.9,40.0606741,-105.2117381,1569.099976,8.742022,187.99187,,
2020/10/05-16:11:32:00,0,3.9,40.0605934,-105.2117457,1569.099976,8.795095,184.043,,
2020/10/05-16:11:33:00,0,3.9,40.0605091,-105.2117527,1569.099976,9.213838,184.00574,LC,1
2020/10/05-16:11:34:00,0,3.9,40.0604263,-105.2117616,1569.099976,9.105385,187.96046,,
2020/10/05-16:11:35:00,0,3.9,40.0603431,-105.2117808,1569.099976,9.557739,194.93095,,
2020/10/05-16:11:36:00,0,3.9,40.0602574,-105.2118126,1569.099976,9.54419,199.92784,,
2020/10/05-16:11:37:00,0,3.9,40.0601743,-105.2118509,1569.099976,9.609385,200.9854,,
2020/10/05-16:11:37:00,0,3.9,40.0601743,-105.2118509,1569.099976,9.609385,200.9854,,
2020/10/05-16:11:38:00,0,3.9,40.0600893,-105.2118891,1569.099976,9.36982,208.85004,,
2020/10/05-16:11:39:00,0,3.9,40.0600129,-105.2119377,1569.099976,9.198942,213.86343,,
2020/10/05-16:11:40:00,0,3.9,40.0599467,-105.2119894,1569.099976,8.967478,216.91418,,
2020/10/05-16:11:41:00,0,3.9,40.059884,-105.2120457,1569.099976,9.085602,217,,
2020/10/05-16:11:42:00,0,3.9,40.0598206,-105.2121055,1569.099976,9.177446,220.88718,,
2020/10/05-16:11:43:00,0,3.9,40.0597563,-105.2121742,1569.099976,9.354903,225.88675,,
2020/10/05-16:11:44:00,0,3.9,40.0596967,-105.2122447,1569.099976,9.349803,225.01822,,
2020/10/05-16:11:45:00,0,3.9,40.0596362,-105.2123203,1569.099976,9.40429,231.83022,,
2020/10/05-16:11:45:00,0,3.9,40.0596362,-105.2123203,1569.099976,9.40429,231.83022,WP,True
2020/10/05-16:11:46:00,0,3.9,40.0595796,-105.2124044,1569.099976,9.088974,231.02415,,
2020/10/05-16:11:47:00,0,3.9,40.0595243,-105.2124894,1569.099976,9.331551,235.80563,,
2020/10/05-16:11:48:00,0,3.9,40.0594781,-105.2125825,1569.099976,9.20344,243.79771,,
2020/10/05-16:11:49:00,0,3.9,40.0594368,-105.212677,1569.099976,9.198897,244.97067,,
2020/10/05-16:11:50:00,0,3.9,40.0593961,-105.2127742,1569.099976,9.10352,244.02167,,
2020/10/05-16:11:51:00,0,3.9,40.0593559,-105.2128703,1569.099976,8.912327,247.93285,,
2020/10/05-16:11:52:00,0,3.9,40.0593243,-105.2129639,1569.099976,8.931712,252.89688,,
2020/10/05-16:11:53:00,0,3.9,40.0592956,-105.2130601,1569.099976,8.840062,255.94861,,
2020/10/05-16:11:54:00,0,3.9,40.0592699,-105.2131559,1561.30127,8.441261,258.961,,
2020/10/05-16:11:55:00,0,3.9,40.0592489,-105.2132482,1561.529053,8.282426,263.93146,,
2020/10/05-16:11:55:00,0,3.9,40.0592489,-105.2132482,1561.529053,8.282426,263.93146,WP,False
2020/10/05-16:11:56:00,0,3.9,40.0592345,-105.2133418,1562.262207,8.454117,263.00854,,
2020/10/05-16:11:57:00,0,3.9,40.0592185,-105.213439,1561.74585,8.34224,266.94662,,
2020/10/05-16:11:58:00,0,3.9,40.0592116,-105.213533,1562.006592,8.242321,272.9197,,
2020/10/05-16:11:59:00,0,3.9,40.0592086,-105.21363,1561.449219,8.540321,278.91495,,
2020/10/05-16:12:00:00,0,3.9,40.0592112,-105.2137333,1560.738281,8.764803,282.9368,,
2020/10/05-16:12:01:00,0,3.9,40.059217,-105.2138379,1561.198242,8.772111,284.95706,,
2020/10/05-16:12:02:00,0,3.9,40.0592212,-105.21394,1562.162598,8.9139185,282.0491,,
2020/10/05-16:12:03:00,0,3.9,40.0592215,-105.2140469,1562.421875,9.602598,278.07336,,
2020/10/05-16:12:03:00,0,3.9,40.0592215,-105.2140469,1562.421875,9.602598,278.07336,LO,1
2020/10/05-16:12:04:00,0,3.9,40.0592209,-105.2141623,1561.900391,9.034793,273.0712,,
2020/10/05-16:12:05:00,0,3.9,40.0592135,-105.2142705,1562.049805,9.10684,270.0428,,
2020/10/05-16:12:06:00,0,3.9,40.0592059,-105.2143809,1562.170166,9.497473,272.9581,,
2020/10/05-16:12:07:00,0,3.9,40.0592049,-105.2144987,1562.369141,9.655401,272.01337,,
2020/10/05-16:12:08:00,0,3.9,40.0592044,-105.2146181,1562.992188,9.651,271.9994,,
2020/10/05-16:12:09:00,0,3.9,40.0592059,-105.2147403,1563.514648,9.612506,271.99936,,
2020/10/05-16:12:10:00,0,3.9,40.0592069,-105.2148555,1564.492188,9.532779,271.01257,,
2020/10/05-16:12:11:00,0,3.9,40.0592046,-105.2149674,1564.848145,9.268913,269.02527,,
2020/10/05-16:12:12:00,0,3.9,40.0592025,-105.2150786,1565.744141,9.444396,269.9884,,
2020/10/05-16:12:13:00,0,3.9,40.0592061,-105.2151893,1564.352051,9.265676,268.02454,,
2020/10/05-16:12:13:00,0,3.9,40.0592061,-105.2151893,1564.352051,9.265676,268.02454,Data Log,False
